"time","id","location","accuracy","scale","algo","association_status","cl_radio","ap_cardinality"
"2017-09-01 19:28:31","13e815dfec63c111d2ec581ddec6864a46dec72c","2010400273","97.2535","5","4","f","5GHz","2"
"2017-09-01 19:28:31","a186abf7695cd8f4d424f2ec9850d23b8a8cc1fd","2010400264","99.7915","5","4","f","5GHz","1"
"2017-09-01 19:28:31","7ff813d8685a5ed04ddcd403c80045842303ef08","2010400454","98.1057","5","4","t","5GHz","1"
"2017-09-01 19:28:31","cb25cf4c8e66a4a815cb68c60d051c4fdefb2953","2010600555","99.6838","5","4","t","5GHz","1"
"2017-09-01 19:28:31","ae3d69d4c85ecc5c9476cc7359179dfa854411c9","2010600125","99.7575","5","4","t","5GHz","1"
"2017-09-01 19:28:31","1c45d7981d4f1733daf4f9451adad7e8367d6779","2010400386","99.438","5","4","t","5GHz","1"
"2017-09-01 19:28:31","25f9236501d3e031831e12d93a2cef513eef31a0","2010600935","99.811","5","4","f","5GHz","1"
"2017-09-01 19:28:31","c543e41fa177f0906e7600bcf9d9128405e75202","2010400343","99.6838","5","4","t","5GHz","1"
"2017-09-01 19:28:31","b5a4cd3ab97b8356578060b426415f025813f2ed","2010400330","99.8039","5","4","t","2.4GHz","1"
"2017-09-01 19:28:31","f9de8440e9923996fdf44be6c027fbbebf9a32e3","2010300229","99.4359","5","4","f","2.4GHz","1"
"2017-09-01 19:28:31","a5b3ef2d1efb2074f2aabe69b137480ef2a34924","2010300554","99.4","5","4","t","5GHz","1"
"2017-09-01 19:28:31","9aa8cc205c69edbec68350893aed5034359de628","2010600837","99.7706","5","4","t","5GHz","1"
"2017-09-01 19:28:31","209915bffc719e15b76c4632d5166ba8a74335f5","2010400631","98.8945","5","4","f","2.4GHz","1"
"2017-09-01 19:28:31","f89401a1c5b134e82a2de9cf5fe3dac20ae3cd6a","2010600892","99.7868","5","4","f","5GHz","1"
"2017-09-01 19:28:31","0cebce3e4c023ce5c4ab73549b71437a2ceb4753","2010300568","99.7959","5","4","f","2.4GHz","1"
"2017-09-01 19:28:31","76441c9274105c01a1ccc1e1b3b9512afca129c8","2010400424","98.5857","5","4","t","5GHz","2"
"2017-09-01 19:28:31","8cddb0cb60f7fb2ff173f830fa6798f21178e450","2010300376","98.4915","5","4","f","2.4GHz","3"
"2017-09-01 19:28:31","0059ab09b5d2f8ba63c3ea264e6d7d2296dec8af","2010400041","99.7764","5","4","t","5GHz","1"
"2017-09-01 19:28:31","963b4182090fd4eed9e45896caef198b19a6db83","2010400137","99.3099","5","4","t","5GHz","1"
"2017-09-01 19:28:31","f1c2ea6f342a6f140d2e1f8e5d518d8da6e0687a","2010400260","99.75","5","4","f","5GHz","1"
"2017-09-01 19:28:31","93be0fbf827415a0d2bf6b31fb30a2141996bd9c","2010400145","99.6838","5","4","f","5GHz","1"
