time,id,location,accuracy,scale,algo,association_status,cl_radio,ap_cardinality
2017-09-01 19:28:30,1,2010400273,97.2535,5,4,f,5GHz,2
2017-09-01 19:28:30,2,2010400264,99.7915,5,4,f,5GHz,1
2017-09-01 19:28:30,3,2010400454,98.1057,5,4,t,5GHz,1
2017-09-01 19:28:30,4,2010600555,99.6838,5,4,t,5GHz,1
2017-09-01 19:28:30,5,2010600125,99.7575,5,4,t,5GHz,1
2017-09-01 19:28:30,6,2010400386,99.438,5,4,t,5GHz,1
2017-09-01 19:28:30,7,2010600935,99.811,5,4,f,5GHz,1
2017-09-01 19:28:30,8,2010400343,99.6838,5,4,t,5GHz,1
2017-09-01 19:28:30,9,2010400330,99.8039,5,4,t,2.4GHz,1
2017-09-01 19:28:30,10,2010300229,99.4359,5,4,f,2.4GHz,1
2017-09-01 19:28:30,11,2010300554,99.4,5,4,t,5GHz,1
2017-09-01 19:28:30,12,2010600837,99.7706,5,4,t,5GHz,1
2017-09-01 19:28:30,13,2010400631,98.8945,5,4,f,2.4GHz,1
2017-09-01 19:28:30,14,2010600892,99.7868,5,4,f,5GHz,1
2017-09-01 19:28:30,15,2010300568,99.7959,5,4,f,2.4GHz,1
2017-09-01 19:28:30,16,2010400424,98.5857,5,4,t,5GHz,2
2017-09-01 19:28:30,17,2010300376,98.4915,5,4,f,2.4GHz,3
2017-09-01 19:28:30,18,2010400041,99.7764,5,4,t,5GHz,1
2017-09-01 19:28:30,19,2010400137,99.3099,5,4,t,5GHz,1
2017-09-01 19:28:30,20,2010400260,99.75,5,4,f,5GHz,1
2017-09-01 19:28:30,21,2010400145,99.6838,5,4,f,5GHz,1
2017-09-01 19:28:30,22,2010300842,99.0378,5,4,t,5GHz,1
2017-09-01 19:28:30,23,2010600978,99.7113,5,4,f,5GHz,2
2017-09-01 19:28:30,24,2010600138,99.3333,5,4,f,2.4GHz,1
2017-09-01 19:28:30,25,2010400303,99.703,5,4,f,5GHz,1
2017-09-01 19:28:30,26,2010400034,98.2072,5,4,f,5GHz,1
2017-09-01 19:28:30,27,2010600908,99.8399,5,4,t,5GHz,1
2017-09-01 19:28:30,28,2010600192,99.8039,5,4,f,2.4GHz,1
2017-09-01 19:28:30,29,2010600202,99.7915,5,4,f,2.4GHz,1
2017-09-01 19:28:30,30,2010600507,99.8419,5,4,f,5GHz,1
2017-09-01 19:28:30,31,2010600619,99.7959,5,4,t,5GHz,1
